ts,Active energy plant input,Total external heat energy,Water supply at plant entrance
2020-01-01 00:15:00,350,,
2020-01-01 00:30:00,328,,
2020-01-01 00:45:00,338,,
2020-01-01 01:00:00,354,,
2020-01-01 01:15:00,346,,
2020-01-01 01:30:00,326,,
2020-01-01 01:45:00,314,,
2020-01-01 02:00:00,326,,
2020-01-01 02:15:00,338,,
2020-01-01 02:30:00,318,,
2020-01-01 02:45:00,326,,
2020-01-01 03:00:00,372,,
2020-01-01 03:15:00,348,,
2020-01-01 03:30:00,332,,
2020-01-01 03:45:00,332,,
2020-01-01 04:00:00,332,,
2020-01-01 04:15:00,318,,
2020-01-01 04:30:00,366,,
2020-01-01 04:45:00,350,,
2020-01-01 05:00:00,386,,
2020-01-01 05:15:00,366,,
2020-01-01 05:30:00,358,,
2020-01-01 05:45:00,364,,
2020-01-01 06:00:00,360,,
2020-01-01 06:15:00,376,,
2020-01-01 06:30:00,366,,
2020-01-01 06:45:00,362,,
2020-01-01 07:00:00,366,,
2020-01-01 07:15:00,418,,
2020-01-01 07:30:00,428,,
2020-01-01 07:45:00,426,,
2020-01-01 08:00:00,386,,
2020-01-01 08:15:00,432,,
2020-01-01 08:30:00,418,,
2020-01-01 08:45:00,442,,
2020-01-01 09:00:00,420,,
2020-01-01 09:15:00,402,,
2020-01-01 09:30:00,368,,
2020-01-01 09:45:00,354,,
2020-01-01 10:00:00,388,,
2020-01-01 10:15:00,352,,
2020-01-01 10:30:00,386,,
2020-01-01 10:45:00,378,,
2020-01-01 11:00:00,366,,
2020-01-01 11:15:00,400,,
2020-01-01 11:30:00,380,,
2020-01-01 11:45:00,390,,
2020-01-01 12:00:00,386,,
2020-01-01 12:15:00,414,,
2020-01-01 12:30:00,396,,
2020-01-01 12:45:00,410,,
2020-01-01 13:00:00,410,,
2020-01-01 13:15:00,432,,
2020-01-01 13:30:00,416,,
2020-01-01 13:45:00,414,,
2020-01-01 14:00:00,414,,
2020-01-01 14:15:00,392,,
2020-01-01 14:30:00,394,,
2020-01-01 14:45:00,388,,
2020-01-01 15:00:00,356,,
2020-01-01 15:15:00,378,,
2020-01-01 15:30:00,410,,
2020-01-01 15:45:00,392,,
2020-01-01 16:00:00,376,,
2020-01-01 16:15:00,354,,
2020-01-01 16:30:00,386,,
2020-01-01 16:45:00,370,,
2020-01-01 17:00:00,368,,
2020-01-01 17:15:00,364,,
2020-01-01 17:30:00,374,,
2020-01-01 17:45:00,350,,
2020-01-01 18:00:00,352,,
2020-01-01 18:15:00,368,,
2020-01-01 18:30:00,386,,
2020-01-01 18:45:00,366,,
2020-01-01 19:00:00,380,,
2020-01-01 19:15:00,370,,
2020-01-01 19:30:00,386,,
2020-01-01 19:45:00,388,,
2020-01-01 20:00:00,354,,
2020-01-01 20:15:00,384,,
2020-01-01 20:30:00,384,,
2020-01-01 20:45:00,374,,
2020-01-01 21:00:00,330,,
2020-01-01 21:15:00,340,,
2020-01-01 21:30:00,392,,
2020-01-01 21:45:00,370,,
2020-01-01 22:00:00,370,,
2020-01-01 22:15:00,356,,
2020-01-01 22:30:00,332,,
2020-01-01 22:45:00,324,,
2020-01-01 23:00:00,322,,
2020-01-01 23:15:00,352,,
